valid_time,lat,lon,land_sea_mask,model_bathymetry,sea_ice_cover,sea_surface_first_partition_swell_wave_mean_direction,sea_surface_first_partition_swell_wave_mean_period,sea_surface_first_partition_swell_wave_significant_height,sea_surface_maximum_individual_wave_height,sea_surface_second_partition_swell_wave_mean_direction,sea_surface_second_partition_swell_wave_mean_period,sea_surface_second_partition_swell_wave_significant_height,sea_surface_temperature,sea_surface_total_swell_wave_mean_direction,sea_surface_total_swell_wave_mean_period,sea_surface_total_swell_wave_significant_height,sea_surface_wave_mean_direction,sea_surface_wave_mean_period,sea_surface_wave_significant_height,sea_surface_wind_wave_mean_direction,sea_surface_wind_wave_mean_period,sea_surface_wind_wave_significant_height
2020-11-19T09:00:00,22.57912333,114.2778117,0.7402573823928833,9,-9999,122,5,0.25,0.5,244.25,2,0,-9999,120.5,4.75,0.25,120.5,4.75,0.25,35.25,3.75,0
2020-11-19T10:00:00,22.579185,114.2778967,0.7402573823928833,9,-9999,122.5,5,0.25,0.5,167.5,1,0,-9999,121,5,0.25,121,5,0.25,35.25,3.75,0
2020-11-19T11:00:00,22.55125167,114.34796,0.4749581813812256,9.5,-9999,122.25,5,0.25,0.5,183.5,2,0,-9999,118.5,5,0.25,118.5,5,0.25,35.25,3.75,0
2020-11-19T12:00:00,22.4136,114.460965,0.20748233795166016,18.75,0,116.75,5.5,0.25,0.75,133,8.5,0,296,112.25,5.5,0.5,112.25,5.5,0.5,36.25,3.75,0
2020-11-19T13:00:00,22.28233167,114.6235383,0.03021371364593506,30.75,0,110.75,6,0.5,1,169.75,5.5,0,296.25,107.75,6,0.5,107.75,6,0.5,46.5,3.5,0
2020-11-19T14:00:00,22.251065,114.8154083,0.001108407974243164,37.25,0,110,6,0.5,1.25,212.25,2.5,0,296.5,106.5,6,0.5,106.25,6,0.75,62,2.75,0
2020-11-19T15:00:00,22.24981333,115.0549917,0,40.5,0,109.25,6,0.5,1.25,210.75,2.5,0,296.5,105.5,6.25,0.75,105.25,6,0.75,68.25,2.25,0
2020-11-19T16:00:00,22.24784667,115.2828167,0,53.5,0,105.5,6.25,0.75,1.25,214.5,2.75,0,297,104.75,6,0.75,104.25,6,0.75,63.75,2.5,0.25
2020-11-19T17:00:00,22.23430667,115.5193783,0,66.5,0,102,6.25,0.75,1.25,216.75,2.75,0,297.25,104.25,6,0.75,103.25,5.75,0.75,62.5,2.5,0.25
2020-11-19T18:00:00,22.22508167,115.7453817,0,63.25,0,104.5,6,0.75,1.25,179.75,4.75,0,297.5,104,6,0.75,102.5,5.75,0.75,61.5,2.25,0.25
2020-11-19T19:00:00,22.22557667,115.978445,0,60,0,107.25,5.5,0.5,1.25,155.75,7,0.25,297.75,103.75,6.25,0.75,101.5,5.75,0.75,61.75,2.25,0.25
2020-11-19T20:00:00,22.31707167,116.1939267,0,49.5,0,110.75,5.75,0.5,1.25,123.5,5.5,0,297,106.25,6,0.75,103.5,5.5,0.75,55,2,0.25
2020-11-19T21:00:00,22.421335,116.4022633,0,51.75,0,110.5,5.5,0.5,1.25,186.5,5,0,297.25,106.25,6,0.75,102.75,5.5,0.75,51.25,2.25,0.25
2020-11-19T22:00:00,22.52275667,116.6069967,0,44.25,0,111.75,5.5,0.5,1.25,40.75,20.5,0,296.5,108,5.75,0.5,105.5,5.5,0.5,44.25,2,0.25
2020-11-19T23:00:00,22.62414667,116.7950717,0.00008273124694824219,41.25,0,113.75,5.5,0.5,1,54.5,16.25,0,296,111,5.5,0.5,108.25,5.25,0.5,44.75,2.5,0.25
2020-11-20T00:00:00,22.73414167,116.9769583,0,40.5,0,116.25,5.25,0.5,1,75.25,8,0.25,295.75,113.75,5.25,0.5,111.25,5,0.5,44,3,0
2020-11-20T01:00:00,22.80947333,117.1758917,0,45.75,0,116.5,5.25,0.5,1,75.25,8,0.25,296,113.75,5.25,0.5,110.75,5,0.5,43.75,3,0
2020-11-20T02:00:00,22.91625167,117.369245,1.1920928955078125E-7,59.75,0,120,5,0.5,0.75,62.25,6.5,0.25,295.75,115.25,5,0.5,113.75,5,0.5,40.5,3.25,0
2020-11-20T03:00:00,23.04540833,117.5527533,0,74,0,123.75,5,0.5,0.75,48.75,5,0,295.5,116.5,5,0.5,116,4.75,0.5,45.25,1.5,0
2020-11-20T04:00:00,23.188395,117.7325333,0,37.75,0,129,4.75,0.25,0.75,52.25,5.5,0,295.25,121.25,4.75,0.25,121,4.75,0.5,41.5,2.75,0
2020-11-20T05:00:00,23.310775,117.9307233,0,34.25,0,129.5,4.75,0.25,0.75,52,5.25,0,295.5,121,4.75,0.5,120.75,4.75,0.5,36,3.75,0
2020-11-20T06:00:00,23.45817333,118.1347383,0,34.75,0,133.25,4.75,0.25,0.75,53.5,5.5,0,295.5,124.25,4.75,0.25,124.25,4.75,0.25,35.25,3.75,0
2020-11-20T07:00:00,23.56945,118.3318917,0,48,0,137,4.75,0.25,0.75,56,6.5,0.25,295.75,123,4.75,0.25,113.75,4.5,0.25,39.75,3.5,0
2020-11-20T08:00:00,23.68633833,118.4899467,0,56,0,137.75,4.75,0.25,1,56.25,7.25,0.25,296,125.75,5,0.25,89.75,4,0.5,43.75,2.5,0.25
2020-11-20T09:00:00,23.794865,118.64382,0,80.5,0,139.75,5,0.25,1.5,70.25,14.5,0,296,129.75,5,0.25,54.5,3.75,0.75,39,3.25,0.75
2020-11-20T10:00:00,23.89951167,118.77398,0,106,0,140,5,0.25,2,127,12.75,0,296.25,84,5,0.25,42.5,4,1,38.75,3.75,1
2020-11-20T11:00:00,23.99208,118.8948567,0,132.5,0,32.5,22.25,0.25,2.5,151.5,5,0.25,296.5,76.25,5,0.25,37.75,4.25,1.25,36.5,4.25,1.25
2020-11-20T12:00:00,24.11411333,119.067395,0.000011920928955078125,142,0,355.75,27.5,0.25,2.75,152.75,5,0,297,69,5.25,0.25,33.5,4.75,1.5,32.75,4.5,1.5
2020-11-20T13:00:00,24.24894833,119.2547133,0,126.75,0,280.75,27.5,0.25,3.25,153.75,5,0,297,55,5.5,0.25,33,4.75,1.5,32.5,4.75,1.5
2020-11-20T14:00:00,24.35189833,119.35578,0,111.5,0,31.75,27.75,0.25,3.5,158,5,0,296.75,54.25,5.5,0.25,33.5,5,1.75,33,5,1.75
2020-11-20T15:00:00,24.501715,119.4983,0,96,0,32.25,27.75,0.5,4,168.25,5,0,296.75,65.5,6,0.5,34.75,5.25,2,34,5.25,2
2020-11-20T16:00:00,24.540895,119.660835,0,88.5,0,32.5,27.75,0.5,4,206.75,4.5,0,297,54.5,6,0.5,34.5,5.5,2,34,5.5,2
2020-11-20T17:00:00,24.67185833,119.8448833,0,69,0,34.5,27.75,0.5,4,214.25,4.25,0,296.5,32.25,6.25,0.5,35.5,5.75,2,35.5,5.75,2
2020-11-20T18:00:00,24.74888667,120.0067867,0,64,0,37.25,27.75,0.5,4,205.25,4,0,296,33,6.5,0.5,38,5.75,2,37.75,5.75,2
2020-11-20T19:00:00,24.851435,120.15555,0,64.25,0,37.75,26.25,0.5,3.75,196.25,4,0,295.5,43.75,6.75,0.75,39.75,5.75,2,39.25,5.5,1.75
2020-11-20T20:00:00,24.95725667,120.3057483,0,70.5,0,27.25,27.5,0.5,3.75,147.25,15.75,0.25,295.25,41.75,6.75,0.75,41.5,5.75,2,40,5.5,1.75
2020-11-20T21:00:00,25.05846667,120.4722033,0,79,0,14.25,27.5,0.5,4,95.75,27.5,0.25,295.5,23.25,7,0.75,39.5,6,2,41,5.75,2
