#nWings;aws;awa;alpha0;alpha1;alpha2;alpha3;center0;center1;center2;center3;backgroundMesh;profileMesh0;profileMesh1;profileMesh2;profileMesh3;targetMesh;targetCase;Account;cores;walltime;DirName;jobNameID;Cx0Mean;Cx0Var;Cy0Mean;Cy0Var;Cm0Mean;Cm0Var; Cx1Mean;Cx1Var;Cy1Mean;Cy1Var;Cm1Mean;Cm1Var; Cx2Mean;Cx2Var;Cy2Mean;Cy2Var;Cm2Mean;Cm2Var; Cx3Mean;Cx3Var;Cy3Mean;Cy3Var;Cm3Mean;Cm3Var;;;;Total ;1284
4;7.7;51.3;-5;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID0;Case3_Run0to250_ID0;1.004588;0.043871;0.930849;0.06589;-0.280374;0.027408;1.571211;0.001143;1.371014;0.001734;-0.305544;0.00067;2.556657;0.01515;2.320051;0.023985;-0.510308;0.008322;0.778749;0.00959;1.322456;0.023195;-0.353946;0.0087;NOTCONVERGED;;;Converged;686
4;7.7;51.3;-3;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID1;Case3_Run0to250_ID1;0.766075;0.000762;0.738331;0.000881;-0.251282;0.000474;1.592354;0.000298;1.389786;0.001318;-0.309471;0.000619;2.791887;0.00082;2.422926;0.001095;-0.522328;0.000417;0.778448;0.009568;1.329024;0.022374;-0.35805;0.008339;NOTCONVERGED;;;Not converged;598
4;7.7;51.3;-1;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID2;Case3_Run0to250_ID2;2.099298;0.000722;1.31076;0.00026;-0.348123;9.40E-05;1.47746;0.000354;1.31162;0.000672;-0.293163;0.000253;2.449048;0.000737;2.297861;0.00076;-0.516123;0.000384;0.929355;0.005993;1.398298;0.01223;-0.32457;0.005771;NOTCONVERGED;;;;
4;7.7;51.3;1;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID3;Case3_Run0to250_ID3;2.126151;0.000454;1.280823;0.000369;-0.359961;0.000188;1.377161;0.009893;1.117212;0.007578;-0.237809;0.001717;2.560416;0.001431;2.373187;0.001089;-0.533541;0.000415;1.80502;0.006462;2.131481;0.004054;-0.39001;0.000693;NOTCONVERGED;;;;
4;7.7;51.3;3;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID4;Case3_Run0to250_ID4;2.028809;0.00073;1.213681;0.000238;-0.359978;0.000143;1.383273;0.010964;1.120239;0.008606;-0.2386;0.001892;2.563029;0.001161;2.362182;0.000953;-0.530667;0.000358;1.796773;0.009812;2.119768;0.007733;-0.387286;0.001487;NOTCONVERGED;;;;
4;7.7;51.3;5;-10;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID5;Case3_Run0to250_ID5;1.807272;0.000191;1.103619;0.000326;-0.345384;0.000188;1.50144;0.000298;1.32669;0.000558;-0.296577;0.00024;2.466803;0.000461;2.272817;0.000584;-0.510217;0.000237;0.882671;0.004971;1.371334;0.015359;-0.332553;0.006534;NOTCONVERGED;;;;
4;7.7;51.3;-5;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID6;Case3_Run0to250_ID6;1.007395;0.045394;0.934879;0.068279;-0.281608;0.028604;1.501993;0.001278;1.303016;0.00181;-0.304124;0.000717;2.547236;0.014126;2.310029;0.021465;-0.508465;0.007241;0.774598;0.009797;1.321263;0.022859;-0.356446;0.00835;NOTCONVERGED;;;;
4;7.7;51.3;-3;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID7;Case3_Run0to250_ID7;0.762187;0.000603;0.734843;0.000816;-0.249743;0.000408;1.52413;0.000375;1.321598;0.001397;-0.308308;0.000672;2.782513;0.00062;2.414877;0.001024;-0.520767;0.000434;0.77481;0.00995;1.327219;0.022338;-0.360025;0.008103;NOTCONVERGED;;;;
4;7.7;51.3;-1;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID8;Case3_Run0to250_ID8;2.090802;0.000272;1.307551;0.000236;-0.347131;0.000129;1.409351;0.000482;1.242;0.000545;-0.290872;0.000227;2.441299;0.000165;2.290877;0.000422;-0.514426;0.000235;0.93602;0.00442;1.400445;0.01326;-0.325912;0.006431;NOTCONVERGED;;;;
4;7.7;51.3;1;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID9;Case3_Run0to250_ID9;2.12998;0.000682;1.282862;0.000346;-0.36051;0.000181;1.437608;0.000915;1.140514;0.001199;-0.255018;0.000386;2.563121;0.001331;2.376441;0.001145;-0.534231;0.000395;1.812534;0.003629;2.143774;0.002414;-0.392405;0.00044;NOTCONVERGED;;;;
