#nWings;aws;awa;alpha0;alpha1;alpha2;alpha3;center0;center1;center2;center3;backgroundMesh;profileMesh0;profileMesh1;profileMesh2;profileMesh3;targetMesh;targetCase;Account;cores;walltime;DirName;jobNameID;Cx0Mean;Cx0Var;Cy0Mean;Cy0Var;Cm0Mean;Cm0Var; Cx1Mean;Cx1Var;Cy1Mean;Cy1Var;Cm1Mean;Cm1Var; Cx2Mean;Cx2Var;Cy2Mean;Cy2Var;Cm2Mean;Cm2Var; Cx3Mean;Cx3Var;Cy3Mean;Cy3Var;Cm3Mean;Cm3Var
4;7.7;51.3;5;5;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID0;Case3_Run599to624_ID0;1.562606;0.000548;1.086118;0.000798;-0.350927;0.000414;1.067769;0.000754;0.796901;0.000625;-0.258223;0.000284;1.128842;0.018459;1.597857;0.033481;-0.471054;0.012969;1.968258;0.000384;2.077909;0.001012;-0.422798;0.000381
4;7.7;51.3;0;5;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID1;Case3_Run599to624_ID1;1.90634;0.00027;1.335481;0.001346;-0.374208;0.00067;1.024711;0.00071;0.776621;0.000468;-0.253439;0.000234;1.148341;0.017983;1.60605;0.034783;-0.462618;0.014005;1.930623;0.000368;2.061963;0.001165;-0.421447;0.000421
4;7.7;51.3;-5;5;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID2;Case3_Run599to624_ID2;2.140253;0.002333;1.525071;0.00191;-0.377872;0.000827;0.99645;0.000905;0.763967;0.000492;-0.25099;0.000162;1.160248;0.017451;1.611166;0.035129;-0.456026;0.014626;1.906552;0.001108;2.053758;0.001534;-0.421157;0.000459
4;7.7;51.3;-10;5;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID3;Case3_Run599to624_ID3;1.142438;0.062275;1.253362;0.114143;-0.363684;0.044025;1.127848;0.003106;0.82753;0.002453;-0.265945;0.000969;1.133572;0.030313;1.588684;0.056726;-0.455406;0.021947;2.019875;0.008143;2.095607;0.010354;-0.423587;0.002819
4;7.7;51.3;-15;5;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID4;Case3_Run599to624_ID4;1.072307;0.048025;1.408691;0.123523;-0.390092;0.048378;1.120673;0.013405;0.823143;0.008724;-0.264424;0.004772;1.137027;0.036751;1.602464;0.080891;-0.455404;0.036789;1.989137;0.014095;2.075677;0.014291;-0.420608;0.004341
4;7.7;51.3;5;0;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID5;Case3_Run599to624_ID5;1.596063;0.000468;1.102578;0.000899;-0.35613;0.000465;1.3307;0.000666;1.006275;0.000616;-0.276984;0.000258;1.140631;0.018993;1.615754;0.034554;-0.476811;0.013404;1.947776;0.00044;2.100176;0.000954;-0.427894;0.000336
4;7.7;51.3;0;0;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID6;Case3_Run599to624_ID6;1.942313;0.000362;1.352067;0.001337;-0.379049;0.000665;1.286195;0.000583;0.987688;0.000406;-0.273081;0.000174;1.160622;0.017984;1.623526;0.034677;-0.467908;0.013877;1.908442;0.000676;2.082289;0.001368;-0.426161;0.000511
4;7.7;51.3;-5;0;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID7;Case3_Run599to624_ID7;2.145857;0.009236;1.528472;0.00456;-0.379371;0.001364;1.264081;0.001886;0.980159;0.001059;-0.271919;0.000285;1.158555;0.01836;1.620983;0.036421;-0.461936;0.015066;1.891591;0.002146;2.079269;0.002108;-0.426929;0.000513
4;7.7;51.3;-10;0;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID8;Case3_Run599to624_ID8;1.154423;0.064203;1.266387;0.116311;-0.368135;0.044442;1.393765;0.002952;1.037833;0.002713;-0.284159;0.000925;1.132365;0.034081;1.589559;0.06632;-0.455782;0.025232;2.005462;0.009024;2.126296;0.010872;-0.430508;0.002916
4;7.7;51.3;-15;0;-15;-15;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run599to624/ID9;Case3_Run599to624_ID9;1.064171;0.045918;1.409689;0.126205;-0.391916;0.048761;1.384668;0.015173;1.030564;0.007773;-0.281577;0.004445;1.153219;0.036839;1.633756;0.067389;-0.467759;0.034008;1.96707;0.020743;2.100341;0.011557;-0.427222;0.007395
