alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
-5,-10,-10,-20,1.004588,0.930849,-0.280374,1.571211,1.371014,-0.305544,2.556657,2.320051,-0.510308,0.778749,1.322456,-0.353946,NOTCONVERGED,,,5.911205,5.94437
-3,-10,-10,-20,0.766075,0.738331,-0.251282,1.592354,1.389786,-0.309471,2.791887,2.422926,-0.522328,0.778448,1.329024,-0.35805,NOTCONVERGED,,,5.928764,5.880067
-1,-10,-10,-20,2.099298,1.31076,-0.348123,1.47746,1.31162,-0.293163,2.449048,2.297861,-0.516123,0.929355,1.398298,-0.32457,NOTCONVERGED,,,6.955161,6.318539
1,-10,-10,-20,2.126151,1.280823,-0.359961,1.377161,1.117212,-0.237809,2.560416,2.373187,-0.533541,1.80502,2.131481,-0.39001,NOTCONVERGED,,,7.868748,6.902703
3,-10,-10,-20,2.028809,1.213681,-0.359978,1.383273,1.120239,-0.2386,2.563029,2.362182,-0.530667,1.796773,2.119768,-0.387286,NOTCONVERGED,,,7.771884,6.81587
5,-10,-10,-20,1.807272,1.103619,-0.345384,1.50144,1.32669,-0.296577,2.466803,2.272817,-0.510217,0.882671,1.371334,-0.332553,NOTCONVERGED,,,6.658186,6.07446
-5,-8,-10,-20,1.007395,0.934879,-0.281608,1.501993,1.303016,-0.304124,2.547236,2.310029,-0.508465,0.774598,1.321263,-0.356446,NOTCONVERGED,,,5.831222,5.869187
-3,-8,-10,-20,0.762187,0.734843,-0.249743,1.52413,1.321598,-0.308308,2.782513,2.414877,-0.520767,0.77481,1.327219,-0.360025,NOTCONVERGED,,,5.84364,5.798537
-1,-8,-10,-20,2.090802,1.307551,-0.347131,1.409351,1.242,-0.290872,2.441299,2.290877,-0.514426,0.93602,1.400445,-0.325912,NOTCONVERGED,,,6.877472,6.240873
1,-8,-10,-20,2.12998,1.282862,-0.36051,1.437608,1.140514,-0.255018,2.563121,2.376441,-0.534231,1.812534,2.143774,-0.392405,NOTCONVERGED,,,7.943243,6.943591
3,-8,-10,-20,2.031911,1.215688,-0.360591,1.446826,1.145955,-0.256297,2.565264,2.365347,-0.53153,1.801159,2.129471,-0.38927,NOTCONVERGED,,,7.84516,6.856461
5,-8,-10,-20,1.907417,1.13674,-0.356583,1.462136,1.16097,-0.260283,2.563508,2.349349,-0.527983,1.747221,2.07681,-0.379013,NOTCONVERGED,,,7.680282,6.723869
-5,-6,-10,-20,0.701529,0.750557,-0.25816,1.441844,1.244522,-0.304554,2.866337,2.466068,-0.524126,0.76647,1.320884,-0.362422,NOTCONVERGED,,,5.77618,5.782031
-3,-6,-10,-20,0.759104,0.730982,-0.247786,1.435741,1.24001,-0.303825,2.76653,2.402467,-0.518453,0.771389,1.324847,-0.361904,NOTCONVERGED,,,5.732764,5.698306
-1,-6,-10,-20,2.165997,1.323467,-0.352106,1.3953,1.103057,-0.259845,2.547078,2.371064,-0.53284,1.77924,2.109854,-0.386425,NOTCONVERGED,,,7.887615,6.907442
1,-6,-10,-20,2.119096,1.279882,-0.359713,1.400025,1.102795,-0.259522,2.552077,2.367724,-0.532258,1.793278,2.119222,-0.387672,NOTCONVERGED,,,7.864476,6.869623
3,-6,-10,-20,2.009514,1.209035,-0.358421,1.407766,1.114816,-0.263227,2.543501,2.348687,-0.527779,1.728163,2.057851,-0.376146,NOTCONVERGED,,,7.688944,6.730389
5,-6,-10,-20,1.891302,1.131332,-0.354689,1.417508,1.121179,-0.264712,2.549141,2.338039,-0.52546,1.708198,2.031894,-0.370577,NOTCONVERGED,,,7.566149,6.622444
-5,-4,-10,-20,0.69604,0.745136,-0.255924,1.34197,1.154755,-0.297736,2.849754,2.45309,-0.52183,0.762361,1.318613,-0.364757,NOTCONVERGED,,,5.650125,5.671594
-3,-4,-10,-20,0.75452,0.727165,-0.246145,1.335257,1.149888,-0.29669,2.749977,2.389342,-0.515937,0.766019,1.321837,-0.364318,NOTCONVERGED,,,5.605773,5.588232
-1,-4,-10,-20,2.054601,1.29497,-0.343423,1.218718,1.078205,-0.281076,2.407014,2.261076,-0.507453,0.840829,1.341465,-0.338557,NOTCONVERGED,,,6.521162,5.975716
1,-4,-10,-20,2.092482,1.272049,-0.357213,1.324158,1.047868,-0.260437,2.524709,2.346026,-0.527149,1.713107,2.034617,-0.371952,NOTCONVERGED,,,7.654456,6.70056
